model,n_seeds,rmse_mean_mean,rmse_mean_ci95_lo,rmse_mean_ci95_hi,mae_mean_mean,mae_mean_ci95_lo,mae_mean_ci95_hi,nll_mean,nll_ci95_lo,nll_ci95_hi,sharp_mean,sharp_ci95_lo,sharp_ci95_hi,reg_ece_mean,reg_ece_ci95_lo,reg_ece_ci95_hi
FactorQuery_RESVAR+cdfCal90,3,0.34006743629773456,0.2752627899282175,0.4048720826672516,0.2586703846851985,0.19518697858788517,0.32215379078251183,-0.8046719829241434,-0.9940852840238594,-0.6152586818244274,0.11968888590733211,0.0635646831017175,0.1758130887129467,0.02290492442746957,0.00929816131248228,0.03651168754245686
FactorQuery_RESVAR+gaussSplitConf90,3,0.34006743629773456,0.2752627899282175,0.4048720826672516,0.2586703846851985,0.19518697858788517,0.32215379078251183,-0.8046719829241434,-0.9940852840238594,-0.6152586818244274,0.11968888590733211,0.0635646831017175,0.1758130887129467,0.02290492442746957,0.00929816131248228,0.03651168754245686
FactorQuery_RESVAR+pfT,3,0.34006743629773456,0.2752627899282175,0.4048720826672516,0.2586703846851985,0.19518697858788517,0.32215379078251183,-0.8095415433247884,-1.0015624103282916,-0.6175206763212853,0.1354541132847468,0.06689169546356093,0.20401653110593265,0.01589457007745902,0.012231297689066847,0.01955784246585119
FactorQuery_RESVAR+posthocT,3,0.34006743629773456,0.2752627899282175,0.4048720826672516,0.2586703846851985,0.19518697858788517,0.32215379078251183,-0.8068263133366903,-0.9967677470530115,-0.6168848796203691,0.13027477512756983,0.0630948706991778,0.19745467955596185,0.020232667525609333,0.012120558119856115,0.02834477693136255
FlatMLP_NLL,3,0.23464104533195496,0.22784254988826,0.2414395407756499,0.16074650983015695,0.15406977190276305,0.16742324775755085,-1.3203375736872356,-1.3701671118939893,-1.2705080354804819,0.05744475250442823,0.05323636099742707,0.06165314401142939,0.012021944547692934,0.010883423061310864,0.013160466034075004
FlatMLP_NLL+cdfCal90,3,0.23464104533195496,0.22784254988826,0.2414395407756499,0.16074650983015695,0.15406977190276305,0.16742324775755085,-1.3203375736872356,-1.3701671118939893,-1.2705080354804819,0.05744475250442823,0.05323636099742707,0.06165314401142939,0.012021944547692934,0.010883423061310864,0.013160466034075004
FlatMLP_NLL+gaussSplitConf90,3,0.23464104533195496,0.22784254988826,0.2414395407756499,0.16074650983015695,0.15406977190276305,0.16742324775755085,-1.3203375736872356,-1.3701671118939893,-1.2705080354804819,0.05744475250442823,0.05323636099742707,0.06165314401142939,0.012021944547692934,0.010883423061310864,0.013160466034075004
FlatMLP_NLL+pfT,3,0.23464104533195496,0.22784254988826,0.2414395407756499,0.16074650983015695,0.15406977190276305,0.16742324775755085,-1.3239266475041707,-1.3732143654192734,-1.2746389295890679,0.06270479783415794,0.061097739473182686,0.0643118561951332,0.01046362736572822,0.008188438884149545,0.012738815847306895
FlatMLP_NLL+posthocT,3,0.23464104533195496,0.22784254988826,0.2414395407756499,0.16074650983015695,0.15406977190276305,0.16742324775755085,-1.3221011956532795,-1.3724704493360869,-1.2717319419704722,0.06201695278286934,0.05869192614393637,0.06534197942180231,0.01129924071331819,0.009250686180547953,0.013347795246088427
FlatMLP_RESVAR,3,0.225541353225708,0.21861551336349455,0.23246719308792146,0.15645268062750498,0.1491358899069706,0.16376947134803935,-1.3271092573801677,-1.3950843418860523,-1.259134172874283,0.050837114453315735,0.04192535700594605,0.05974887190068542,0.012617168327172598,0.009114809228431378,0.01611952742591382
